Symbol	GeneID
CR_10460W_A	30515457
CR_09640C_A	30515456
tN(GUU)4	30515455
YKE2	30515454
CR_09460C_A	30515453
tD(GUC)7	30515452
tM(CAU)4	30515451
CR_08830W_A	30515450
TAR1	30515449
ITS2	30515448
ITS1	30515447
tG(GCC)6	30515446
tE(UUC)7	30515445
tL(CAA)4	30515444
CR_08520C_A	30515443
CR_08480C_A	30515442
TPM2	30515441
tI(AAU)5	30515440
RPP2A	30515439
tK(UUU)5	30515438
tK(UUU)4	30515437
tK(UUU)3	30515436
CR_08140W_A	30515435
NOP10	30515434
DAD4	30515433
tG(GCC)1	30515432
CR_07760W_A	30515431
CR_07740W_A	30515430
RPS27	30515429
tK(UUU)2	30515428
SMX4	30515427
ATX1	30515426
tS(AGA)2	30515425
CR_06850C_A	30515424
CR_06630W_A	30515423
CR_06600C_A	30515422
CR_06220C_A	30515421
CR_06210C_A	30515420
CR_06200C_A	30515419
CR_06190C_A	30515418
CR_05960W_A	30515417
tS(AGA)1	30515416
tS(AGA)3	30515415
tV(AAC)4	30515414
tP(UGG)4	30515413
tP(UGG)5	30515412
tC(GCA)1	30515411
tC(GCA)2	30515410
CR_05470C_A	30515409
tR(ACG)1	30515408
tR(ACG)2	30515407
CR_05370W_A	30515406
CR_05350W_A	30515405
CR_05330W_A	30515404
CR_05150W_A	30515403
VMA13	30515402
tH(GUG)1	30515401
MVB12	30515400
CR_04750W_A	30515399
tS(GCU)1	30515398
tS(GCU)2	30515397
CR_04650W_A	30515396
PRE6	30515395
MIM1	30515394
CR_04400W_A	30515393
SCR1	30515392
SEC22	30515391
RPS30	30515390
CR_03260W_A	30515389
CR_03190C_A	30515388
MLC1	30515387
RPL28	30515386
ERV1	30515385
CR_02900W_A	30515384
CR_02660C_A	30515383
CR_02470W_A	30515382
CR_02320W_A	30515381
tV(AAC)3	30515380
tL(AAG)1	30515379
CR_01850C_A	30515378
CR_01840W_A	30515377
CR_01490C_A	30515376
tL(UAA)2	30515375
CR_01440C_A	30515374
CR_01300W_A	30515373
SFT1	30515372
CR_00910W_A	30515371
CR_00890C_A	30515370
tT(AGU)3	30515369
CR_00500C_A	30515368
CR_00450C_A	30515367
CR_00430C_A	30515366
CR_00340C_A	30515365
ATP17	30515364
LSM6	30515363
tL(CAA)6	30515362
C7_04340C_A	30515361
tL(UAA)5	30515360
C7_03380W_A	30515359
HHO1	30515358
C7_02510W_A	30515357
C7_02190W_A	30515356
TOM7	30515355
STE18	30515354
C7_01610W_A	30515353
C7_01260W_A	30515352
C7_01160C_A	30515351
ACB1	30515350
RPS28B	30515349
C7_00540W_A	30515348
SOD3	30515347
tL(CAA)3	30515346
C6_04250W_A	30515345
C6_04200C_A	30515344
C6_04150W_A	30515343
tA(UGC)2	30515342
C6_03130W_A	30515341
C6_02400W_A	30515340
C6_02390W_A	30515339
RPL25	30515338
C6_01940W_A	30515337
tA(UGC)1	30515336
RPL32	30515335
MED19	30515334
C6_01540C_A	30515333
C6_01530C_A	30515332
C6_01340C_A	30515331
C6_01210W_A	30515330
C6_00680C_A	30515329
RPS13	30515328
FCA1	30515327
C6_00530C_A	30515326
DPM2	30515325
C6_00220C_A	30515324
C6_00120W_A	30515323
tL(CAA)5	30515322
tA(AGC)5	30515321
C5_04690C_A	30515320
RPL43A	30515319
CUP1	30515318
C5_04480C_A	30515317
C5_04460C_A	30515316
C5_04450C_A	30515315
C5_04330W_A	30515314
PGA56	30515313
C5_03890C_A	30515312
C5_03450W_A	30515311
C5_03440W_A	30515310
tE(UUC)5	30515309
C5_03400C_A	30515308
C5_03290C_A	30515307
C5_03110C_A	30515306
C5_02850W_A	30515305
C5_02810W_A	30515304
C5_02190C_A	30515303
C5_01900C_A	30515302
C5_01540W_A	30515301
C5_01160C_A	30515300
C5_01150C_A	30515299
C5_01030W_A	30515298
C5_01020C_A	30515297
tQ(CUG)1	30515296
tE(UUC)3	30515295
tE(UUC)4	30515294
COF1	30515293
tS(CAG)1	30515292
C5_00320W_A	30515291
C5_00120W_A	30515290
C4_07170C_A	30515289
C4_07160W_A	30515288
C4_06880C_A	30515287
C4_06860C_A	30515286
C4_06690C_A	30515285
C4_06520W_A	30515284
C4_06290W_A	30515283
