tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM
237561	Candida albicans SC5314	30515457	0	live	CAALFM_CR10460WA	CAALFM_CR10460WA	ncRNA			R	NC_032096.1	2226852	2226936	plus	1	
237561	Candida albicans SC5314	30515456	0	live	CAALFM_CR09640CA	CAALFM_CR09640CA	hypothetical protein	; hypothetical protein		R	NC_032096.1	2049605	2049799	minus	1	
237561	Candida albicans SC5314	30515455	0	live	tN(GUU)4	CAALFM_CR09630WA	tRNA			R	NC_032096.1	2049080	2049173	plus	0	
237561	Candida albicans SC5314	30515454	0	live	YKE2	CAALFM_CR09600CA	tubulin-binding prefolding complex subunit	; tubulin-binding prefolding complex subunit		R	NC_032096.1	2043667	2044170	minus	1	
237561	Candida albicans SC5314	30515453	0	live	CAALFM_CR09460CA	CAALFM_CR09460CA	hypothetical protein	; hypothetical protein		R	NC_032096.1	2015134	2015427	minus	1	
237561	Candida albicans SC5314	30515452	0	live	tD(GUC)7	CAALFM_CR09450CA	tRNA			R	NC_032096.1	2008897	2008968	minus	0	
237561	Candida albicans SC5314	30515451	0	live	tM(CAU)4	CAALFM_CR08970WA	tRNA			R	NC_032096.1	1919560	1919633	plus	0	
237561	Candida albicans SC5314	30515450	0	live	CAALFM_CR08830WA	CAALFM_CR08830WA	hypothetical protein	; hypothetical protein		R	NC_032096.1	1898484	1898747	plus	1	
237561	Candida albicans SC5314	30515449	0	live	TAR1	CAALFM_CR08820CA	Tar1p	; Tar1p		R	NC_032096.1	1893653	1893922	minus	1	
237561	Candida albicans SC5314	30515448	0	live	ITS2	CAALFM_CR08800WA	miscRNA			R	NC_032096.1	1893319	1893469	plus	1	
237561	Candida albicans SC5314	30515447	0	live	ITS1	CAALFM_CR08780WA	miscRNA			R	NC_032096.1	1893023	1893161	plus	1	
237561	Candida albicans SC5314	30515446	0	live	tG(GCC)6	CAALFM_CR08750CA	tRNA			R	NC_032096.1	1882565	1882635	minus	0	
237561	Candida albicans SC5314	30515445	0	live	tE(UUC)7	CAALFM_CR08730WA	tRNA			R	NC_032096.1	1880901	1880994	plus	0	
237561	Candida albicans SC5314	30515444	0	live	tL(CAA)4	CAALFM_CR08530CA	tRNA			R	NC_032096.1	1841759	1841873	minus	0	
237561	Candida albicans SC5314	30515443	0	live	CAALFM_CR08520CA	CAALFM_CR08520CA	hypothetical protein	; hypothetical protein		R	NC_032096.1	1840750	1841170	minus	2	
237561	Candida albicans SC5314	30515442	0	live	CAALFM_CR08480CA	CAALFM_CR08480CA	ribosomal 40S subunit protein S29A	; ribosomal 40S subunit protein S29A		R	NC_032096.1	1831039	1831209	minus	1	
237561	Candida albicans SC5314	30515441	0	live	TPM2	CAALFM_CR08460WA	tropomyosin	; tropomyosin		R	NC_032096.1	1826834	1827706	plus	2	
237561	Candida albicans SC5314	30515440	0	live	tI(AAU)5	CAALFM_CR08390WA	tRNA			R	NC_032096.1	1813131	1813216	plus	0	
237561	Candida albicans SC5314	30515439	0	live	RPP2A	CAALFM_CR08360CA	ribosomal protein P2A	; ribosomal protein P2A		R	NC_032096.1	1808666	1809337	minus	2	
237561	Candida albicans SC5314	30515438	0	live	tK(UUU)5	CAALFM_CR08240WA	tRNA			R	NC_032096.1	1788639	1788713	plus	0	
237561	Candida albicans SC5314	30515437	0	live	tK(UUU)4	CAALFM_CR08230CA	tRNA			R	NC_032096.1	1787634	1787708	minus	0	
237561	Candida albicans SC5314	30515436	0	live	tK(UUU)3	CAALFM_CR08220CA	tRNA			R	NC_032096.1	1786876	1786961	minus	0	
237561	Candida albicans SC5314	30515435	0	live	CAALFM_CR08140WA	CAALFM_CR08140WA	ncRNA			R	NC_032096.1	1771650	1771740	plus	1	
237561	Candida albicans SC5314	30515434	0	live	NOP10	CAALFM_CR08020CA	snoRNP complex protein	; snoRNP complex protein		R	NC_032096.1	1752667	1752846	minus	1	
237561	Candida albicans SC5314	30515433	0	live	DAD4	CAALFM_CR08010WA	Dad4p	; Dad4p		R	NC_032096.1	1751963	1752281	plus	2	
237561	Candida albicans SC5314	30515432	0	live	tG(GCC)1	CAALFM_CR07880CA	tRNA			R	NC_032096.1	1713590	1713660	minus	0	
237561	Candida albicans SC5314	30515431	0	live	CAALFM_CR07760WA	CAALFM_CR07760WA	mitochondrial 37S ribosomal protein RSM19	; mitochondrial 37S ribosomal protein RSM19		R	NC_032096.1	1682063	1682338	plus	1	
237561	Candida albicans SC5314	30515430	0	live	CAALFM_CR07740WA	CAALFM_CR07740WA	hypothetical protein	; hypothetical protein		R	NC_032096.1	1679654	1679848	plus	1	
237561	Candida albicans SC5314	30515429	0	live	RPS27	CAALFM_CR07630CA	ribosomal 40S subunit protein S27B	; ribosomal 40S subunit protein S27B		R	NC_032096.1	1657163	1657839	minus	2	
237561	Candida albicans SC5314	30515428	0	live	tK(UUU)2	CAALFM_CR07410CA	tRNA			R	NC_032096.1	1607966	1608040	minus	0	
237561	Candida albicans SC5314	30515427	0	live	SMX4	CAALFM_CR07330WA	U4/U6-U5 snRNP complex subunit	; U4/U6-U5 snRNP complex subunit		R	NC_032096.1	1595318	1595608	plus	1	
237561	Candida albicans SC5314	30515426	0	live	ATX1	CAALFM_CR06950CA	copper metallochaperone	; copper metallochaperone		R	NC_032096.1	1489480	1489704	minus	1	
237561	Candida albicans SC5314	30515425	0	live	tS(AGA)2	CAALFM_CR06880CA	tRNA			R	NC_032096.1	1474054	1474135	minus	0	
237561	Candida albicans SC5314	30515424	0	live	CAALFM_CR06850CA	CAALFM_CR06850CA	hypothetical protein	; hypothetical protein		R	NC_032096.1	1467125	1467409	minus	2	
237561	Candida albicans SC5314	30515423	0	live	CAALFM_CR06630WA	CAALFM_CR06630WA	ncRNA			R	NC_032096.1	1424337	1424474	plus	1	
237561	Candida albicans SC5314	30515422	0	live	CAALFM_CR06600CA	CAALFM_CR06600CA	ncRNA			R	NC_032096.1	1416506	1416586	minus	1	
237561	Candida albicans SC5314	30515421	0	live	CAALFM_CR06220CA	CAALFM_CR06220CA	ncRNA			R	NC_032096.1	1324683	1324826	minus	1	
237561	Candida albicans SC5314	30515420	0	live	CAALFM_CR06210CA	CAALFM_CR06210CA	ncRNA			R	NC_032096.1	1324474	1324560	minus	1	
237561	Candida albicans SC5314	30515419	0	live	CAALFM_CR06200CA	CAALFM_CR06200CA	ncRNA			R	NC_032096.1	1324465	1324551	minus	1	
